stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\HENRY\source\repos\Conta-Strike\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.18025] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18035] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.18043] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18051] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.18060] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18068] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18076] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18086] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18094] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18103] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.18111] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18120] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.18128] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18137] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.18145] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18154] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18162] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18170] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18179] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18188] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.18197] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18205] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.18214] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18222] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.18231] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18241] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18249] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18259] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18267] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18282] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.18292] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18301] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.18309] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18318] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.18326] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18335] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18343] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18351] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18358] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18367] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.18374] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18383] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.18390] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18397] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.18404] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18411] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18419] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18433] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18442] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18450] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.18458] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18469] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.18477] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18487] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.18495] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18504] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18512] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18521] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18529] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18537] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.18546] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18561] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.18570] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18579] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.18587] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18598] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18606] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18613] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18621] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18630] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18640] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18649] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18657] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18665] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18673] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18681] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18688] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18696] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18705] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18713] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18722] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18731] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18739] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18746] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18755] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18764] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18771] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18779] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18788] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18796] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18805] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18814] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18827] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18837] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18845] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18854] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18863] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18871] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18880] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18889] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18896] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18906] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18918] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18927] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18935] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18943] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18951] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18958] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18965] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18973] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18981] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18990] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19000] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19009] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19016] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19024] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19032] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19042] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19050] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19059] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19068] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19076] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19088] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19098] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19105] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19116] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19123] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19132] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19141] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19150] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19158] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19166] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19174] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19182] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19191] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19199] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19208] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19216] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19225] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19233] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19241] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19251] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19259] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19270] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   0.19281] Trying format 0.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   0.19338] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   0.19348] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   0.21901] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   0.30895] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   0.30918] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   0.30929] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   0.30939] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   0.30949] Returning d3d_display: 000002326F9BE020
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   0.30956] al_display=000002326F9BE020
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   0.30963] al_display->vt=000002326F9BE900
dtor     D               dtor.c:196  _al_register_destructor          [   0.31514] added dtor for timer 000002326FA366C0, func 00007FFD2F911050
dtor     D               dtor.c:196  _al_register_destructor          [   0.31530] added dtor for queue 000002326FC1C120, func 00007FFD2F911C53
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.31608] opening ./assets/Fonte_inimigo.ttf rb
font     D                ttf.c:971  al_load_ttf_font_stretch_f       [   0.31664] Font ./assets/Fonte_inimigo.ttf loaded with pixel size 0 x 26.
font     D                ttf.c:973  al_load_ttf_font_stretch_f       [   0.31679]     ascent=46.0, descent=9.0, height=36.0
dtor     D               dtor.c:196  _al_register_destructor          [   0.31692] added dtor for ttf_font 0000023274642C30, func 00007FFD8391129E
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.31702] opening ./assets/botao.png rb
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.31736] opening ./assets/botao.png rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.31762] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.31770] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.31776] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.31784] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.31842] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.31856] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.31864] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.31872] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.31890] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.31897] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.31912] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.31920] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.31932] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.31998] added dtor for bitmap 00000232746696C0, func 00007FFD2F911190
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.32060] opening ./assets/Sound_effect/botao.ogg rb
acodec   I                ogg.c:197  _al_load_ogg_vorbis              [   0.32104] Loading sample ./assets/Sound_effect/botao.ogg.
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.32114] opening ./assets/Sound_effect/botao.ogg rb
acodec   D                ogg.c:256  _al_load_ogg_vorbis_f            [   0.32192] channels 2
acodec   D                ogg.c:257  _al_load_ogg_vorbis_f            [   0.32211] word_size 2
acodec   D                ogg.c:258  _al_load_ogg_vorbis_f            [   0.32218] rate 48000
acodec   D                ogg.c:259  _al_load_ogg_vorbis_f            [   0.32225] total_samples 48384
acodec   D                ogg.c:260  _al_load_ogg_vorbis_f            [   0.32230] total_size 193536
dtor     D               dtor.c:196  _al_register_destructor          [   0.32760] added dtor for sample 0000023274643170, func 00007FFD70491528
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.32789] opening ./assets/personagem.png rb
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.32819] opening ./assets/personagem.png rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.32838] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.32844] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.32852] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.32859] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.32868] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.32902] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.32908] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.32913] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.32919] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.32924] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.32930] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.32935] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.32940] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.33018] added dtor for bitmap 00000232746694C0, func 00007FFD2F911190
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.33388] opening ./assets/ataque.png rb
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.33414] opening ./assets/ataque.png rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33444] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33451] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33456] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33461] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33467] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33472] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33482] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33487] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33492] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.33498] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.33510] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.33546] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.33570] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.33673] added dtor for bitmap 00000232746698B0, func 00007FFD2F911190
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.33707] opening ./assets/vida.png rb
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.33798] opening ./assets/vida.png rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33814] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33821] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33828] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33834] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33839] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33844] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33850] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33855] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33862] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.33868] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.33874] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.33881] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.33887] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.33934] added dtor for bitmap 00000232746B8DF0, func 00007FFD2F911190
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.34047] opening ./assets/PixelOperatorMonoHB8.ttf rb
font     D                ttf.c:971  al_load_ttf_font_stretch_f       [   0.34081] Font ./assets/PixelOperatorMonoHB8.ttf loaded with pixel size 0 x 50.
font     D                ttf.c:973  al_load_ttf_font_stretch_f       [   0.34089]     ascent=44.0, descent=-7.0, height=55.0
dtor     D               dtor.c:196  _al_register_destructor          [   0.34096] added dtor for ttf_font 0000023274643090, func 00007FFD8391129E
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.34103] opening ./assets/Background_music/level_1_background.ogg rb
acodec   I                ogg.c:197  _al_load_ogg_vorbis              [   0.34119] Loading sample ./assets/Background_music/level_1_background.ogg.
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.34125] opening ./assets/Background_music/level_1_background.ogg rb
acodec   D                ogg.c:256  _al_load_ogg_vorbis_f            [   0.34174] channels 2
acodec   D                ogg.c:257  _al_load_ogg_vorbis_f            [   0.34195] word_size 2
acodec   D                ogg.c:258  _al_load_ogg_vorbis_f            [   0.34233] rate 44100
acodec   D                ogg.c:259  _al_load_ogg_vorbis_f            [   0.34241] total_samples 11409408
acodec   D                ogg.c:260  _al_load_ogg_vorbis_f            [   0.34247] total_size 45637632
dtor     D               dtor.c:196  _al_register_destructor          [   0.82732] added dtor for sample 00000232746439C0, func 00007FFD70491528
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.82753] opening ./assets/level1background.png rb
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.82777] opening ./assets/level1background.png rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.82795] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.82805] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.82811] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.82819] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.82832] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.82840] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.82847] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.82853] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.82862] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.82868] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.82875] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.82884] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.82892] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.83034] added dtor for bitmap 0000023274855400, func 00007FFD2F911190
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.87187] opening ./assets/fonteGameOver.ttf rb
font     D                ttf.c:971  al_load_ttf_font_stretch_f       [   0.87257] Font ./assets/fonteGameOver.ttf loaded with pixel size 0 x 30.
font     D                ttf.c:973  al_load_ttf_font_stretch_f       [   0.87270]     ascent=33.0, descent=-6.0, height=38.0
dtor     D               dtor.c:196  _al_register_destructor          [   0.87279] added dtor for ttf_font 0000023274748A00, func 00007FFD8391129E
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.87285] sample matrix:
